date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag
20180520,2018-05-20 00:00:00,7,20,140,Sunday,Sun,N,20,20,2018-05-14 00:00:00,20180514,5,5,May,May,2,2018,201805,11,4,2018,N
20180521,2018-05-21 00:00:00,1,21,141,Monday,Mon,Y,21,21,2018-05-21 00:00:00,20180521,5,5,May,May,2,2018,201805,11,4,2018,N
20180522,2018-05-22 00:00:00,2,22,142,Tuesday,Tue,Y,21,21,2018-05-21 00:00:00,20180521,5,5,May,May,2,2018,201805,11,4,2018,N
20180523,2018-05-23 00:00:00,3,23,143,Wednesday,Wed,Y,21,21,2018-05-21 00:00:00,20180521,5,5,May,May,2,2018,201805,11,4,2018,N
20180524,2018-05-24 00:00:00,4,24,144,Thursday,Thu,Y,21,21,2018-05-21 00:00:00,20180521,5,5,May,May,2,2018,201805,11,4,2018,N
20180525,2018-05-25 00:00:00,5,25,145,Friday,Fri,Y,21,21,2018-05-21 00:00:00,20180521,5,5,May,May,2,2018,201805,11,4,2018,N
20180526,2018-05-26 00:00:00,6,26,146,Saturday,Sat,N,21,21,2018-05-21 00:00:00,20180521,5,5,May,May,2,2018,201805,11,4,2018,N
20180527,2018-05-27 00:00:00,7,27,147,Sunday,Sun,N,21,21,2018-05-21 00:00:00,20180521,5,5,May,May,2,2018,201805,11,4,2018,N
20180528,2018-05-28 00:00:00,1,28,148,Monday,Mon,Y,22,22,2018-05-28 00:00:00,20180528,5,5,May,May,2,2018,201805,11,4,2018,N
20180529,2018-05-29 00:00:00,2,29,149,Tuesday,Tue,Y,22,22,2018-05-28 00:00:00,20180528,5,5,May,May,2,2018,201805,11,4,2018,N
20180530,2018-05-30 00:00:00,3,30,150,Wednesday,Wed,Y,22,22,2018-05-28 00:00:00,20180528,5,5,May,May,2,2018,201805,11,4,2018,N
20180531,2018-05-31 00:00:00,4,31,151,Thursday,Thu,Y,22,22,2018-05-28 00:00:00,20180528,5,5,May,May,2,2018,201805,11,4,2018,Y
20180601,2018-06-01 00:00:00,5,1,152,Friday,Fri,Y,22,22,2018-05-28 00:00:00,20180528,6,6,June,Jun,2,2018,201806,12,4,2018,N
20180602,2018-06-02 00:00:00,6,2,153,Saturday,Sat,N,22,22,2018-05-28 00:00:00,20180528,6,6,June,Jun,2,2018,201806,12,4,2018,N
20180603,2018-06-03 00:00:00,7,3,154,Sunday,Sun,N,22,22,2018-05-28 00:00:00,20180528,6,6,June,Jun,2,2018,201806,12,4,2018,N
20180604,2018-06-04 00:00:00,1,4,155,Monday,Mon,Y,23,23,2018-06-04 00:00:00,20180604,6,6,June,Jun,2,2018,201806,12,4,2018,N
20180605,2018-06-05 00:00:00,2,5,156,Tuesday,Tue,Y,23,23,2018-06-04 00:00:00,20180604,6,6,June,Jun,2,2018,201806,12,4,2018,N
20180606,2018-06-06 00:00:00,3,6,157,Wednesday,Wed,Y,23,23,2018-06-04 00:00:00,20180604,6,6,June,Jun,2,2018,201806,12,4,2018,N
20180607,2018-06-07 00:00:00,4,7,158,Thursday,Thu,Y,23,23,2018-06-04 00:00:00,20180604,6,6,June,Jun,2,2018,201806,12,4,2018,N
20180608,2018-06-08 00:00:00,5,8,159,Friday,Fri,Y,23,23,2018-06-04 00:00:00,20180604,6,6,June,Jun,2,2018,201806,12,4,2018,N
20180609,2018-06-09 00:00:00,6,9,160,Saturday,Sat,N,23,23,2018-06-04 00:00:00,20180604,6,6,June,Jun,2,2018,201806,12,4,2018,N
20180610,2018-06-10 00:00:00,7,10,161,Sunday,Sun,N,23,23,2018-06-04 00:00:00,20180604,6,6,June,Jun,2,2018,201806,12,4,2018,N
20180611,2018-06-11 00:00:00,1,11,162,Monday,Mon,Y,24,24,2018-06-11 00:00:00,20180611,6,6,June,Jun,2,2018,201806,12,4,2018,N
